Fermentation_Time,Temperature,pH_Level,Gravity,Alcohol_Content,Bitterness,Color,Quality_Score
16,20.2063559932229,4.97642454626499,1.04491701927469,4.80717313817522,21,5,9
18,23.0447559978084,4.91397270289098,1.06822194340864,4.85251635938568,31,11,9
10,16.137083392879,4.57263616756477,1.03555424230787,5.41000972141541,52,8,9
10,15.7292311310853,4.72172056790018,1.06896834142769,5.45108553878389,34,17,8
10,23.5252411193799,4.94367450048033,1.05783231376098,4.8136354047166,38,15,8
19,22.4899228587554,5.10084349542214,1.07480389897528,5.35570931128907,54,18,8
11,21.0783188869181,4.71617685835866,1.07927157446152,4.91525150604968,34,10,6
19,21.7147202970467,5.2954516756045,1.0483637155658,5.10236478518946,20,18,7
16,19.6046338082459,5.21410298018501,1.03896396018139,5.93113836146697,39,9,9
17,17.1221599575064,5.1991104812087,1.04114374197078,5.94613460484936,33,5,9
15,18.6193029311194,4.53287889755344,1.03411721040703,5.86357633184315,48,15,7
16,24.60606262515,5.18366545393641,1.06765665015382,5.30388132890383,36,19,6
11,15.8676823832856,4.93818619094062,1.05909270377229,5.13631185697977,43,15,6
17,16.812719434714,5.1605455772868,1.05892587971911,5.32539583245697,21,14,7
12,21.3132240435623,5.17498793738651,1.03492008025554,4.54644803287788,23,5,6
19,20.7588132496999,5.28229216319035,1.03521670082926,4.55814411923444,39,10,9
16,18.7888806765538,5.3268247715727,1.06509765687364,5.89189303023273,50,7,6
13,21.4037261134478,5.42764783714133,1.06296055110232,4.5183639695412,48,13,8
15,23.2536801261354,4.70429280591937,1.06280611232291,5.83786183056892,49,5,7
11,19.9200611311967,5.29143506172112,1.04662721749462,5.49421343290813,27,14,9
10,18.214792201818,5.19740772882842,1.04084722339056,5.33044253817653,56,16,7
11,24.2253135585178,4.71395435816796,1.06398636856472,5.80866602150766,33,18,9
14,23.6772364073352,5.03699944859944,1.03321591997064,5.1934104010061,55,10,6
13,21.3137200745724,4.73146937149941,1.04191926556295,5.96893406333695,49,11,7
15,16.5326903496694,5.07601820706085,1.06338199123648,4.55828071891136,25,14,8
12,21.2469139992787,4.8353145577111,1.05437076180618,5.03756063198284,29,13,6
16,24.8691780822985,4.84952138242181,1.04513188325139,4.99281293171587,40,10,8
17,24.3131700118838,5.35712938015427,1.05159758670009,5.28984665923713,23,16,7
16,19.7273729638559,5.25057657979964,1.04624156304275,5.29013746366324,44,6,7
11,19.9943885036371,4.97543225261562,1.04840075680674,4.62332645373362,59,10,9
11,22.4042749992757,4.70990387233631,1.06412207028921,4.9960975192582,55,15,8
14,21.4172394498894,5.34580718950038,1.07382446255655,5.3024754634944,59,19,7
18,22.4081798130345,4.96926605509662,1.0503969884523,5.61371954139062,57,19,8
10,24.1128411688249,4.79465099140257,1.03997539608457,5.83234278675223,27,12,9
12,22.6293831293739,4.77639650569921,1.0305953857694,5.9346529167609,38,19,9
17,21.6397078524736,4.85365663866534,1.03501514095953,4.95375188329524,35,8,9
16,24.7781966244664,5.46560307350013,1.06279031440387,5.40495341858553,47,18,7
11,19.417996876415,5.10711592361978,1.05878429544955,4.55142869770222,45,6,8
15,21.8308737673017,4.73751218504467,1.07467240286069,4.82077373270102,49,18,6
19,22.1625375591298,4.93691074003199,1.03626445994528,4.81551461427035,21,13,6
18,17.73933389488,5.17657634936643,1.03263461696103,4.54756824573405,45,7,6
14,22.452490472545,4.66031536581932,1.04248646120689,5.26113018727086,43,5,7
12,21.0853130674539,4.89895127532585,1.07533308530653,5.74375226099953,50,5,8
13,15.7276767808879,4.68972778448424,1.03249455999253,5.29758834627891,40,12,7
11,19.441791970341,5.18053302654602,1.05106025780049,4.70740443493774,58,19,7
10,18.7428767892,4.96334201784022,1.07887201846115,4.70995082519346,27,19,9
18,20.7545894012725,4.67519611993272,1.06631255552669,4.52762977988847,54,6,7
14,24.6854713370325,4.99145482334945,1.07320503179177,4.76631014027587,42,7,6
14,24.6271741953985,4.6865060922475,1.03522670731839,5.85307174305687,38,19,6
15,15.0152246607549,4.77474442442278,1.0330863774925,5.28541010311583,37,14,6
10,18.8263110669101,4.72501577199501,1.05544820952631,4.9830557879827,45,6,7
10,21.958755120212,5.35586957778262,1.04365555103479,5.96147012325223,23,16,7
11,23.1449371030171,4.98674326795898,1.07910483343376,4.79311917496162,26,9,9
11,16.1918858803488,4.71689815939688,1.05908541589737,4.83866491358845,23,17,6
14,15.276400032414,4.94113769210583,1.05581087185241,5.83509932684026,54,14,6
10,19.9823861605712,4.83039243477661,1.05917693149155,5.76334990304774,24,8,9
16,22.5966396358225,4.72670002141808,1.04227405198749,5.88599111560887,35,9,8
19,23.0324010020231,5.24578629768333,1.06700022937613,5.17787790719494,26,15,9
11,18.571583174004,4.5361489132529,1.04238557350038,5.09017848123981,20,16,8
12,24.3536452836426,4.58578826973337,1.03044013653556,5.74104556914974,42,19,6
16,17.4245336453816,4.87149402021496,1.03480243684818,5.71796469678865,40,19,8
17,23.5174436253119,5.29161209356877,1.03424253274939,5.02712655402902,56,15,6
19,15.3042177941198,5.30747081253111,1.04151417180744,4.83190469992157,53,19,7
18,22.4816298635671,5.03040856306594,1.0391232817752,4.71854469400773,43,5,7
15,15.9507995471382,4.98104136036434,1.05748190541837,4.80667086142771,34,8,9
14,23.0962986978929,5.28942421551953,1.07225608531845,4.75699788335727,53,17,7
19,21.6069805668907,5.17695854012001,1.07632787963266,5.69940708092489,42,8,7
17,18.6774381372746,4.77109131727458,1.04244046491007,5.01764193986614,44,12,9
16,23.5222680208524,5.39581531085471,1.06640822987216,5.15912602434454,45,14,8
14,22.4713019413634,5.4600515447698,1.07291830760407,5.51855841270302,22,17,8
19,21.3150513719436,4.53612917125331,1.04887591448141,5.84451090181986,52,14,7
16,23.0388768757845,5.47335494057392,1.05743654743236,4.70392187865474,20,15,7
19,16.441811459358,4.92570329697483,1.07710347040009,5.90939005638007,59,13,8
18,21.5888211512466,4.60973542192061,1.05738617334829,4.58341152903103,55,17,6
13,24.0570918422543,5.0600075431232,1.06164573112883,5.99779447754121,29,6,7
15,20.3877440737602,4.88142978807333,1.04076609630472,5.88930494852282,56,8,6
14,15.7899175288619,5.12017335027164,1.04868779301628,4.83889587725011,59,18,8
16,15.6525119972303,4.84555232060661,1.0543412168319,4.81505376735206,24,16,9
15,24.6770247220271,5.30839441199381,1.05841006488701,4.76032837416593,59,16,7
14,24.2976012547435,5.05921304009402,1.06640755406778,5.29450707212586,44,10,6
10,24.5269746250021,5.28411976117685,1.06391624392726,5.09648023356402,27,10,8
15,15.1227685971817,5.36169705504533,1.05901455069943,5.23145484491811,24,9,7
10,24.635509295507,5.30103904123753,1.06952581001672,4.66005972977353,43,13,9
19,22.8012791550731,4.54846831639078,1.07778072323115,4.78044377251221,26,10,9
16,18.5656798955894,5.35486717731056,1.03402004463788,4.50956372065196,43,7,9
18,18.7933098490861,4.94604033920897,1.06780050923259,5.34572597167411,38,11,7
10,15.773697084823,5.30540836875723,1.06140114932763,4.72322782724215,43,11,7
16,20.346649609866,4.78173396295105,1.04316681221628,5.68405507341999,39,12,8
15,22.426965757592,4.51848354436413,1.04262454918679,5.77207806246634,27,9,6
12,23.5527860032736,4.71851216210846,1.05462631099782,5.58551183323618,31,18,7
17,16.5220005206621,4.91414651234355,1.04520761767879,4.72487149610797,33,5,6
11,20.3461786185556,4.88645183503725,1.03266768240076,5.74627603561653,23,15,6
14,21.4193118484362,4.96769934814181,1.05593559884981,5.36330193573586,21,6,9
14,18.8590420461855,4.90439450536555,1.03141790025339,5.17023451769093,41,12,6
15,23.9123108719398,5.03491480137375,1.0643324174126,5.28102798765274,51,17,7
12,24.0180161799974,5.1826573292643,1.05015391926418,5.5758622734823,24,11,6
14,24.7965438365918,5.30769111076621,1.03749832445238,5.95877016365303,31,6,7
14,17.0637057140457,4.55670381821631,1.07854515939107,5.1578541244509,40,15,7
14,21.9734027597784,4.63297841253518,1.03891404089602,5.88706856720965,59,12,8
12,23.9075815945305,5.32391164426961,1.07672106681531,5.28594060852489,43,11,8
14,19.4362358637829,5.27465865887211,1.04139172584951,5.63743462041963,22,17,8
16,17.497359184379,4.71164310490618,1.07988878382518,5.37654641544364,21,7,6
10,20.8268125190252,5.31407982589821,1.06790770776201,4.67469116952769,39,7,9
17,15.8766860947042,5.05901774628058,1.07311239581876,5.57299169971613,49,6,7
14,21.279424807294,4.5207034528155,1.06705541976886,4.68767777506372,30,15,8
15,19.5020544921703,4.81055341066077,1.0569589928279,5.14314205642304,48,16,9
16,19.9805888262074,4.5979721730352,1.07157096531062,4.86234313970732,21,13,6
19,21.8403982915613,5.33797630803776,1.05315738257089,4.75922004103421,45,12,9
16,21.0770168836957,4.72373819366306,1.03837845305358,5.8749855969519,56,7,7
19,15.4421626598389,5.02420309107328,1.07430244494189,5.71720997507035,49,10,7
14,21.5191918832964,5.25001296302757,1.05196436441286,5.54988456786474,42,13,7
13,20.7904978871287,5.00462840077157,1.03772347692806,5.76145508846577,58,12,7
16,21.8051113093143,4.8088477971505,1.03141449450004,5.32237334910501,41,14,6
11,20.4082683995069,4.99676532710173,1.04858560545768,5.18694450637405,28,15,6
13,16.7340017433913,5.08527660960753,1.03099830920312,4.70563185194283,44,17,6
16,24.6531560821795,4.71023659828058,1.04713704892812,5.34089414973168,28,9,6
14,17.7706126440116,4.5595576895661,1.04408758948649,4.66037352583466,30,11,8
16,23.4487596560482,4.6761288478972,1.03862778946511,4.9264267737259,44,18,8
14,24.1960437132319,4.57614175776165,1.05094234206191,4.81909834034347,51,19,7
15,19.56053700312,4.58105947462647,1.04287579589685,5.51738304626051,43,19,6
18,21.6873662003409,5.08259568957078,1.06813537794673,4.80753481138841,53,14,6
11,15.8646756906924,4.53742819413675,1.05299901358162,5.04854657892552,27,13,9
12,15.4670293596492,5.44176766539907,1.04230380199034,5.06856550337099,51,9,9
13,17.7569808726563,4.67295126303754,1.03264945668575,5.25929113877243,37,6,7
12,16.5664441100067,4.89302662593361,1.04267110081824,5.09960042853618,54,17,7
14,20.4496376194732,5.40548674560372,1.04305555322355,4.57167363177179,50,6,9
19,17.3693499703908,4.713669717799,1.04114922367714,5.56928740320251,50,15,7
14,19.7744221127687,5.31245026056446,1.03696065428979,4.76273602573156,35,19,6
15,22.468621914959,4.91956537466601,1.07183910068231,5.73274951612584,28,15,6
11,22.2924038852401,5.3656635410212,1.07991895633576,5.85822995177187,24,17,8
16,20.6044981844651,5.41223802337134,1.05323069646724,5.59290548764598,36,9,9
14,16.615347754412,5.00013703034421,1.03584188122373,5.2748362471354,54,17,9
18,22.9653827266506,4.76615666047028,1.05952479257948,5.65889969049429,58,19,7
10,21.2463883776677,4.54680274617495,1.05354505570208,5.27611469101607,44,17,8
17,15.216442997824,4.6982361484573,1.04939046767232,5.77648632599906,46,9,6
13,23.0006196900421,5.439816058334,1.0360820094689,5.44733970749766,23,10,7
13,24.7745050595473,5.01279980333934,1.0376160690742,4.6808480519935,49,7,8
10,22.9550382855834,4.60674299604432,1.05128813435383,5.69678905895259,36,9,9
14,21.2479173017628,5.43009724942716,1.06536078650143,5.9531381040407,42,17,9
14,16.7719527329335,5.34040792387403,1.07785252131518,5.19702759430304,51,11,9
13,17.2094719464369,5.21059886142912,1.05290412537485,5.97650307112932,36,9,6
18,15.9028571559745,4.51831703653689,1.06216730408857,5.76853072787621,33,9,6
17,16.2415854400028,5.43776955628714,1.0596269158185,5.26137442414277,24,17,8
15,18.1682938667201,5.00154232549224,1.0589693763188,5.44832676429575,59,18,6
16,21.3027132006983,5.38681276993785,1.05367382225134,5.94382202959857,37,15,6
10,24.0667107075959,4.75634505702315,1.05874106875309,4.90215403584902,29,8,7
19,21.1459521233118,4.95872814378404,1.0439857256164,5.27806526760111,28,9,9
16,15.5257088035423,5.2244883978714,1.03627168857995,5.12342584761889,56,15,8
13,22.3801771625328,5.35144900819642,1.03442529323101,5.78389792973744,43,19,7
18,21.29053350571,5.05254480916994,1.04500101351874,5.34944071166917,21,19,6
18,22.6200385979927,4.57150813337944,1.03576788591118,5.03420605588902,36,7,9
18,22.1478757604047,5.33001899109289,1.04071192601909,4.53130481916585,51,16,8
16,18.438958557442,4.92546549462922,1.07593528749921,4.67303400978826,55,10,8
15,22.7517117172109,5.37760016113582,1.04857959455089,5.47092318548036,36,15,6
10,19.7040251745883,5.45479866946704,1.06921854570868,5.36668816287834,56,10,9
17,20.4531515903182,4.99457361319471,1.05551277444748,5.98632582442965,38,12,9
14,22.5997951364014,5.20297734364347,1.03949700916565,5.96182093448959,29,18,9
14,19.9444266362151,4.8155335882776,1.03948137745436,5.46732436314103,20,19,9
15,19.8960870767249,5.37531060140534,1.05659176576767,5.02827288197724,26,16,9
10,24.5783124605134,5.00772141073421,1.06327360042834,5.13233026769492,48,6,9
19,22.1581196061198,5.2048623046589,1.06685750807499,5.14415090339451,42,12,9
15,15.0120549528305,5.3984279775886,1.07936100326461,5.01085856712244,41,16,9
19,23.9021619880068,5.11002579614701,1.05299003448065,4.57878073977228,23,13,9
11,24.3707296035259,5.18481775557065,1.06368580003089,5.13971567730669,51,12,6
16,15.1212504499897,5.08639129153625,1.03153987315356,5.51719790124962,47,11,9
12,15.7486921919523,4.96413327302,1.05650778952176,4.73911094290925,55,8,8
18,21.2815808450456,5.05618157587959,1.0787338811919,5.49917648555331,38,7,9
13,24.9723411680061,4.81571783618012,1.04601324501608,4.51338308818834,25,15,7
10,22.1995795587212,5.17913165459313,1.04972516993353,5.18321925461204,46,18,7
14,21.3258230778814,5.40027972485299,1.0577941013142,5.66304550383742,45,10,8
12,21.275664503808,5.46840267040837,1.07038128987637,5.10963889882561,36,17,6
17,16.0144900658795,5.44441925983226,1.07058796223895,4.97783915360207,32,14,8
11,23.1441678705822,5.39185466899777,1.03785552883105,5.80836452352733,37,18,6
14,24.5411645384387,4.55696394344015,1.07418544487095,4.61525170351453,38,18,8
18,19.3567490483993,5.02674873647552,1.04866520471509,5.53095254769655,43,9,8
15,19.852065129422,4.66619168654778,1.03591620229421,5.88996583305706,27,16,8
16,16.9188043781527,5.07182621930345,1.06017298679838,5.78424176043807,41,8,6
16,15.362976068434,5.15527918435809,1.03781466770842,4.84630248057892,34,6,6
10,20.6885340365818,4.62599987711507,1.07169298394658,4.58758981057681,42,17,9
15,20.8361225252881,5.03612203800792,1.06358673756723,5.75638928821801,32,14,9
12,22.6622809043417,4.80829006605521,1.03713729156222,5.1556734313765,43,5,8
17,15.2758666493353,4.74149677581642,1.03483696307737,5.34515726633758,35,18,6
11,23.7430895785058,4.50895105517015,1.0307290196251,5.60105965488835,21,9,6
10,24.5084096460609,4.97514837945369,1.05604411063356,4.93271132242236,26,10,8
12,21.9523067689989,5.44065596872691,1.07928071027762,4.81720572936644,55,17,7
19,23.8907929345485,5.24207545323886,1.05310329846415,4.69331497855047,57,12,6
17,16.192462906083,4.58435449470838,1.06686197837219,5.71556044768281,52,9,9
19,23.5635534653806,4.92060665122571,1.07922410299476,4.84955649717451,38,12,7
11,22.4898853265063,4.81313417447222,1.03909927335339,5.29923222530209,22,13,9
13,23.1070493279229,4.85878300277627,1.06808869067382,5.45671253905028,47,5,8
18,15.7803966281508,5.31413517718253,1.0482851109858,4.89049677238599,30,5,7
17,15.3693593650111,5.3742761754738,1.07172179076307,4.52364638668504,50,15,8
19,20.1403353937475,5.10277668957007,1.05690342177619,4.70705332968494,21,7,7
17,20.0901863810718,5.41542893517448,1.06808571367001,4.60360611545207,56,10,7
19,16.7111134954279,5.40462543611973,1.03362324861681,4.81786554678398,52,7,8
10,22.6153093866401,5.25952067562557,1.07123051432916,4.68411504196647,47,17,6
12,18.0533364577469,5.25800357185747,1.04948292554418,4.53908658421596,41,9,7
19,22.6214047772113,5.19086551652894,1.03074924974544,5.53455958414615,27,8,8
14,22.5728890646002,4.57899841637807,1.06979268146435,5.47812873942266,46,17,7
16,18.78728660702,4.52395017710804,1.0300346329486,5.1181575254224,53,12,9
10,19.4405547990035,5.31770507040485,1.06904604818799,4.64738861550267,34,8,6
11,16.4554693736496,5.33887822698416,1.04684698463768,5.24806339195215,56,19,9
14,23.2741641595676,4.93929779493429,1.05886200567716,5.03247075976532,48,13,6
11,19.7135725749694,5.0908939550299,1.04026006107136,5.90157239561673,27,5,7
16,15.9702107148161,4.91831980138148,1.04297602786956,5.62819227442329,37,15,6
14,20.0958962210798,4.5062498089664,1.04003918645084,5.9160662090495,35,9,8
12,20.6830355535746,4.63052352867831,1.04742715227399,5.20912919350048,41,7,8
10,17.6065445244315,5.33089025250944,1.03356660434322,5.18113177573406,41,13,7
19,16.4497638316872,4.5110327937169,1.04318733192952,5.6955447341222,55,7,8
15,20.1873144454892,4.87751668821295,1.07923148812896,5.18583165375355,43,7,8
13,15.3395647818018,4.79593075140241,1.04622643221334,5.07694284955102,28,13,7
13,15.4987504845102,5.22007578941032,1.05425133702151,5.0538707607722,58,19,6
14,18.9315290890249,4.95582291327184,1.06951604694672,5.37999297231798,52,13,7
15,22.4022793873225,4.7082321709218,1.03358486676438,4.89700148542814,23,7,7
19,24.2209133441997,4.61371439433317,1.07528340289159,5.20321448564244,21,18,7
10,16.644345489556,5.28869759938192,1.07084906717279,5.78002507333931,43,5,8
18,20.0010321041225,4.62873540674032,1.07060924762651,5.15587104365143,30,12,7
15,19.6990999190271,4.62449393903696,1.06629535480639,5.0663351468312,46,10,8
18,17.1421248497975,4.71948320198535,1.07175410106134,4.86431367817367,22,6,6
11,24.7607901518541,4.63837977089666,1.0300730234618,5.56958895307079,34,19,7
19,24.0813362916147,4.9761873528876,1.04169540723186,5.11023886456517,40,16,6
15,20.6447918624885,5.05287258800072,1.0334575955679,4.62399154029839,57,17,9
12,15.157585585419,4.53599840362236,1.06935256828388,5.86047201810409,50,19,8
15,22.9757028606728,5.35849216007517,1.04770747606652,4.88057859843789,27,6,7
14,23.0442825424248,4.62026709681935,1.06319312397291,4.90811738208268,48,7,9
10,15.5159600268725,5.30111110130012,1.04528425942012,5.1629594691274,54,13,6
11,17.8433820827334,5.38522414209776,1.04739271343914,5.40492776696008,44,17,8
13,18.6870864678243,4.9418699091335,1.07953820203511,5.88149296057314,32,12,7
15,19.2923812112922,4.90891455230592,1.05598492773933,5.09219533351461,45,9,8
19,20.3943346863349,4.61361144922895,1.06113872749596,5.50394453710919,34,18,8
16,23.9534789053391,5.01557226271436,1.03033968190689,5.78579885237913,25,11,8
16,18.3850066750366,4.88059606117196,1.04446712327953,5.17022612045619,32,7,7
19,18.113521914944,5.35156529094014,1.04265203985875,5.49081801901471,44,10,7
17,21.8007914706533,5.13351121647087,1.03433104210113,5.27259815408779,53,13,6
15,17.5388822528869,4.74701753097546,1.03986308906731,4.61563600484178,46,9,9
12,18.3499306055248,5.04301837547213,1.07206482096588,5.70339283507943,54,5,7
15,19.5362218272147,5.34941359435775,1.07254106610469,4.89851043689749,29,16,9
13,22.6516207804068,5.01624081445852,1.03136334109596,5.7800768299284,30,11,6
11,16.3439935527852,4.6844155473719,1.04068811849244,4.68618108614902,54,9,8
16,15.9381843781594,4.78599272109468,1.04125637468844,5.38781238161822,33,13,6
10,23.435795750732,4.70373242567095,1.03569856178938,5.24125781935594,54,11,6
10,22.0639074497433,4.81202209391074,1.06821276911784,5.32365612749133,35,8,8
13,19.9771152259322,4.8091619196765,1.05077132235846,5.11572855132137,34,7,6
14,20.1556674222281,4.5168222253732,1.06203267541454,5.58864619303963,46,6,7
16,24.0446339605342,5.42708993522595,1.03040736099178,4.57158348164722,26,7,7
13,18.6818745406155,4.74864313930003,1.03642214574811,5.42250522864889,34,18,7
15,21.426896704699,5.04285916337763,1.04771025494794,5.24787511290319,25,17,6
10,24.4934469804059,4.60144050776753,1.06060252837312,5.75570843690764,28,5,9
19,21.2150591444247,5.33124921585576,1.04271402152095,4.50317742929686,28,5,6
13,23.9561803260839,5.23602147984279,1.0467037958255,4.6444277523141,41,18,7
13,19.0681418964489,4.6670288026961,1.03368137199792,5.69342682842545,26,18,7
19,23.1034013134265,4.69014075741898,1.03365304252753,5.62454949419655,26,11,9
14,18.4741866239326,4.52596702152935,1.03017174187472,5.270436292669,51,13,6
13,17.1681836892314,5.19086540770865,1.05090059899367,5.33466391510367,39,15,6
16,23.4948800034867,5.48500793047995,1.07666831721579,5.37185465766535,26,8,7
15,24.5398570175527,4.92985454582159,1.04110558514051,4.8816606346696,49,7,9
15,24.2096905439639,4.62833003291621,1.07077012886663,5.86567946699325,55,16,6
18,19.4992220190399,4.85575966635219,1.06450310715905,4.9163223464636,50,5,7
16,23.1918567497483,5.24439028902411,1.05340455652082,5.64679817948908,45,10,9
15,22.3769509968892,5.32270796685249,1.06825113054114,4.64625322517391,25,17,9
11,21.9368282188026,5.43197727734924,1.03771107898911,5.39269555549131,49,9,7
14,19.977993309884,5.3648156892456,1.06530295962914,5.4467376335638,32,5,8
12,17.7442527162424,5.2862699968467,1.06532934256859,5.1845825055324,48,16,9
15,22.300669976002,5.32470992294112,1.07936105460084,5.05874034353203,45,10,7
10,22.1917393973209,5.14575587910347,1.03189838359194,4.95734569228783,57,19,8
13,19.2057966882894,4.59343921099591,1.07397506919213,5.46259096987768,25,11,6
16,20.5554600982186,4.88510219949539,1.03946588499349,4.73235715963918,31,7,7
16,22.8583842167735,5.38536772203584,1.06332214142801,5.70230271900465,48,10,6
19,18.7781454933183,4.93612574052606,1.03562861283266,4.75095275394131,39,7,6
14,24.166320855759,5.0948638907844,1.03167433980642,5.89649892060997,36,7,8
10,16.9533312093976,5.18132765108407,1.0637878041372,4.59852721176496,57,9,7
13,22.90142515685,4.65733554542153,1.0471108571436,5.21634048445826,44,11,6
18,16.0931194381334,4.66071808342255,1.03429975269601,5.71832184514672,40,14,9
19,23.6138988022367,5.43863091475268,1.07280197151255,5.66086284371119,39,7,7
11,16.7759840435735,4.8694535425311,1.05124710431696,5.65567639797059,43,11,7
17,18.6092027934993,5.08678178148009,1.04285945636551,5.72805205446249,57,6,8
18,22.9549344599958,4.76463125774319,1.06258295852815,5.70542006639312,41,12,8
15,24.4471128000888,5.03534188069095,1.03455210625989,5.21199400816453,28,13,9
11,17.8892502452721,4.74178987787038,1.06728468017315,4.76736173675568,29,9,9
19,16.4197954411626,4.6356769260108,1.06931940350746,5.99292900864366,34,7,6
15,20.7429912486226,5.21420438177308,1.04507720798587,5.08924505769415,57,12,8
12,20.8614285129283,4.74899609647905,1.07626041797225,4.56460232846848,50,9,9
15,17.7365632463356,5.2947133473186,1.04183684430869,5.7896861479914,27,13,8
17,22.3086186572724,4.50870772096289,1.04031814564449,4.99863188512552,41,11,6
11,24.0732938607396,4.6722405439213,1.05065854439186,5.16776515918577,44,10,8
12,23.824646729816,5.16427371328328,1.07340573393645,5.61728222460062,59,9,6
13,16.7127637240719,5.21094839711075,1.03579672691751,5.5675234546156,32,6,7
14,20.0932413901992,4.82388757390613,1.04283770303588,5.38714303995225,23,11,6
11,23.7653474372116,5.34302287835461,1.07577507914414,4.76132268027106,20,11,6
15,18.9554780389856,5.37119296155471,1.07363718455834,5.8132557893936,28,5,6
14,23.7885721217513,4.97195717867119,1.04870168426772,5.79935012500872,42,13,8
17,20.8830442349219,4.6600092484936,1.0420616707477,5.21480755859202,54,17,9
13,15.0323708609742,4.51231091676637,1.03527373932367,4.87968124518116,50,13,8
18,16.4321194346572,5.29457489662725,1.07558695492598,5.89584016837093,45,12,6
14,18.5954300863642,4.7312542391761,1.06698496994495,5.2365567705278,22,9,9
13,22.1196345900569,4.59335792289475,1.04409129601302,4.69780509850431,44,6,8
17,24.8102723271508,5.19466771625261,1.03089593824889,5.64740387062324,50,8,7
19,15.2590069279422,5.26363585439153,1.06977271104529,5.3490168451957,57,15,6
13,15.4396394985688,4.86925244329441,1.06589525869911,5.99741601210471,50,8,8
10,19.067869972771,5.30242036347946,1.04504604736951,5.92976824356264,59,7,6
16,22.6985476491994,5.22929203855725,1.03299978292807,5.60031105253882,29,17,9
13,24.3087592188246,5.02857275494531,1.07431367492347,5.0068680341187,57,5,8
14,17.821580129761,5.46728545305502,1.06846944703506,5.38627730824002,37,15,9
17,18.466154641949,5.03998421416224,1.04814891916141,4.95962732051131,39,15,8
18,21.5546574656028,5.32263688421512,1.07030343092079,4.53317818696061,48,19,9
10,20.5194736898096,5.246333082609,1.07969688167864,5.55648144683793,44,17,7
12,22.7457534749409,5.1879401908722,1.06348112674286,4.53262017377647,56,7,6
15,20.9348520759887,4.71390593494203,1.05438914003489,4.88615113108614,44,6,9
11,23.0322701684708,4.50688047019935,1.06260854592334,5.03172768054681,59,15,6
14,22.1669077385617,5.19821954574261,1.05556751376032,5.67595962495219,56,14,7
17,24.9523430839994,4.68444041687019,1.07689248822052,5.89261412010909,50,11,6
16,19.2875418910605,4.61971856424075,1.03502335059261,5.9629589497173,35,7,9
19,18.7866173113423,5.24084206040424,1.0311458313078,5.93648864259832,49,15,8
12,20.2575966055466,4.95748427793034,1.03917674201404,4.59035821351535,22,11,8
15,15.6958430449421,5.49396304359752,1.04848582166464,5.23627149009164,30,6,6
13,20.0548776639861,5.0962079452538,1.03297161904745,4.8933234816381,41,19,6
12,15.6354146478298,4.69710467426083,1.064132393449,5.22552396332221,53,14,8
16,19.2387226249638,4.63240434367003,1.05859324965254,4.71952691856483,59,7,6
14,15.7026777394476,4.79072937096082,1.03175753817325,4.73824597520419,58,10,8
16,24.4660631849736,5.13236553559148,1.04801924552778,5.97776792773118,21,13,9
14,21.6404370883654,5.38960474882295,1.07980440154632,4.78779311049253,58,16,7
15,20.7873817060999,4.76921432950043,1.05900225309384,4.96344377017379,28,19,7
17,19.0989102240697,4.98968461317227,1.03814579958859,4.77134039499983,31,16,9
18,22.3346914933408,4.74237122038757,1.03635031192699,4.6289032649566,49,10,8
